id,lemma,root,wazn,form,tense,voice,person,variant,text
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,3ms,1,فَعَلَ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,3md,1,فَعَلا
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,3mp,1,فَعَلُوا
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,3fs,1,فَعَلَتْ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,3fd,1,فَعَلَتا
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,3fp,1,فَعَلْنَ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,2ms,1,فَعَلْتَ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,2d,1,فَعَلْتُما
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,2mp,1,فَعَلْتُمْ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,2fs,1,فَعَلْتِ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,2fp,1,فَعَلْتُنَّ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,1s,1,فَعَلْتُ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,active,1p,1,فَعَلْنا
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,3ms,1,فُعِلَ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,3md,1,فُعِلا
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,3mp,1,فُعِلُوا
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,3fs,1,فُعِلَتْ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,3fd,1,فُعِلَتا
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,3fp,1,فُعِلْنَ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,2ms,1,فُعِلْتَ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,2d,1,فُعِلْتُما
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,2mp,1,فُعِلْتُمْ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,2fs,1,فُعِلْتِ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,2fp,1,فُعِلْتُنَّ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,1s,1,فُعِلْتُ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,past,passive,1p,1,فُعِلْنا
001_110,فَعَلَ,فعل,فعَل يفعُل,I,indicative,active,3ms,1,يَفْعُلُ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,indicative,active,3md,1,يَفْعُلانِ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,indicative,active,3mp,1,يَفْعُلونَ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,indicative,active,3fs,1,تَفْعُلُ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,indicative,active,3fd,1,تَفْعُلانِ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,indicative,active,3fp,1,يَفْعُلْنَ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,indicative,active,2ms,1,تَفْعُلُ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,indicative,active,2d,1,تَفْعُلانِ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,indicative,active,2mp,1,تَفْعُلونَ
001_110,فَعَلَ,فعل,فعَل يفعُل,I,indicative,active,2fs,1,تَفْعُلينَ
