id,lemma,root,wazn,form,past_vowel,nonpast_vowel,full_passive,reduced,root_type,verb_type,model,template,page,printed_page,masdar,active_participle,passive_participle
001_110,فَعَلَ,فعل,فعَل يفعُل,I,a,u,1,0,2,3+0-I,110,A,142,125,فَعْلٌ ، فِعْلٌ ، فَعَلٌ ، فُعْلٌ ، فُعُلٌ ، فِعَلٌ ، فِعْلٌ,فاعِلٌ,مَفْعولٌ
002_143,رَؤُفَ,رأف,فعُل يفعُل,I,u,u,0,0,7,3+0-V,143,B,215,198,رَأْفَةٌ ، رَآفَةٌ,رَائِفٌ,
003_143,ضَؤُلَ,ضأل,فعُل يفعُل,I,u,u,0,0,7,3+0-V,143,B,215,198,ضَآلَةٌ ، ضُؤُولَةٌ,ضَائِلٌ,
004_212,آخَذَ,أخذ,فاعل,III,,,0,0,5,3+1-III,212,B,278,262,مُؤَاخَذَةٌ,مُؤَاخِذٌ,مُؤَاخَذٌ
005_260,اِدَّعَمَ,دعم,افتعل,VIII,,,0,0,2,3+2-III,260,,,334,,,
006_114,هَنَأَ,هنأ,فعَل يفعُل,I,a,u,1,0,8,3+0-I,114,A,152,135,هَنْءٌ ، هِنْءٌ ، هَنَاءٌ,هانِئٌ,مَهْنُوءٌ
007_117,دَعا,دعو,فعَل يفعُل,I,a,u,1,0,28,3+0-I,117,A,158,141,دُعاءٌ ، دَعْوَى,داعٍ,مَدْعُوٌّ
008_146,هَيُؤَ,هيأ,فعُل يفعُل,I,u,u,0,0,26,3+0-V,146,A,220,203,هَيْأَةٌ ، هِيَاءَةٌ,هَايِئٌ,
009_128,وَفَى,وفي,فعَل يفعِل,I,a,i,1,0,40,3+0-II,128,A,181,164,وَفَاءٌ,وَافٍ,مَوْفِيٌّ
010_168,وَلِيَ,ولي,فعِل يفعِل,I,i,i,1,0,40,3+0-VI,168,A,257,240,وَلْيٌ ، وِلايَةٌ ، وَلايَةٌ.,والٍ.,مَوْلِيٌّ.
011_240,تَفاعَلَ,فعل,تفاعل,VI,,,1,0,2,3+2-II,240,A,320,304,,,
012_121,فَرَّ,فرر,فعَل يفعِل,I,a,i,1,0,10,3+0-II,121,A,164,147,فَرٌّ ، فِرارٌ ، فَرارٌ ، مَفَرٌّ ، مَفِرٌّ,فارٌّ ج فَرٌّ.,مَفْرورٌ.
013_156,خافَ,خوف,فعِل يفعَل,I,i,a,1,0,21,3+0-IV,156,A,241,224,خَوْفٌ ، خِيْفٌ ، مَخَافَةٌ ، خِيْفَةٌ,خَائِفٌ,مَخُوْفٌ
014_310,فَعْلَلَ,فعلل,فعلل,Iq,,,1,0,44,4+0,310,A,402,387,فَعْلَلَةٌ ، فِعْلَالٌ,مُفَعْلِلٌ,مُفَعْلَلٌ
015_230,اِسَّمَّعَ,سمع,تفعّل,V,,,0,1,2,3+2-I,230,,,287,,,
016_200,فَعَّلَ,فعل,فعّل,II,,,1,0,2,3+1-II,200,A,259,243,,,
017_159,حَيِيَ,حيي,فعِل يفعَل,I,i,a,1,0,39,3+0-IV,159,A,248,231,حَيَاةٌ,حايٍ,مَحْيِيٌّ
018_426,اِحْوَنْصَلَ,حوصل,افعنلل,IIIq,,,0,0,50,4+2-I,426,,,412,,,
019_277,اِرْعَوَى,رعو,افعلّ,IX,,,0,0,28,3+2-V,277,,,357,,,
